Profile Analysis
Project Root: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith
Profile File: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith\pipeline\out\profile_stats
Total Functions Found: 380

+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Top 500 Project Functions by 'total_time'                                                        |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
|                                   Function                                  |  Calls   | Total Time (s) | Per Call (s) | Cumulative (s) | Cum/Call (s) |
|                       __init__ (playout_policy.py:11)                       |    1     |  0.000073500   | 0.000073500  |  0.013570900   | 0.013570900  |
|                      <listcomp> (inferior_cells.py:110)                     |    1     |  0.000072000   | 0.000072000  |  0.000072000   | 0.000072000  |
|                         carrier (carrier_list.py:18)                        |   275    |  0.000069700   | 0.000000253  |  0.000069700   | 0.000000253  |
|                            __init__ (board.py:20)                           |    1     |  0.000067000   | 0.000067000  |  0.000992600   | 0.000992600  |
|                          compute_all (board.py:124)                         |    5     |  0.000066800   | 0.000013360  |  41.844436100  | 8.368887220  |
|                compute_group_dead_regions (dead_region.py:65)               |    5     |  0.000066700   | 0.000013340  |  0.001310400   | 0.000262080  |
|                          _build_vcs (board.py:187)                          |    5     |  0.000066200   | 0.000013240  |  26.835434300  | 5.367086860  |
|                       action_to_id (board_utils.py:10)                      |   201    |  0.000065500   | 0.000000326  |  0.000065500   | 0.000000326  |
|                        clear (inferior_cells.py:260)                        |    15    |  0.000065300   | 0.000004353  |  0.000713000   | 0.000047533  |
|                    SearchExecutor (search_executor.py:24)                   |    1     |  0.000062300   | 0.000062300  |  0.000112800   | 0.000112800  |
|                 update_changed_cells (pattern_state.py:159)                 |    13    |  0.000061300   | 0.000004715  |  0.001982000   | 0.000152462  |
|                  remove_vulnerable (inferior_cells.py:285)                  |    36    |  0.000058700   | 0.000001631  |  0.000068600   | 0.000001906  |
|            prunable_from_inferiority_graph (inferior_cells.py:7)            |    5     |  0.000057500   | 0.000011500  |  0.000127400   | 0.000025480  |
|                    remove (inc_empty_cells_tracker.py:33)                   |    6     |  0.000057100   | 0.000009517  |  0.000057100   | 0.000009517  |
|                              reset (vcs.py:131)                             |    10    |  0.000055400   | 0.000005540  |  0.000420100   | 0.000042010  |
|                     compute_inferior_cells (board.py:95)                    |    5     |  0.000054500   | 0.000010900  |  15.005853800  | 3.001170760  |
|                   and_full_empty_full (vcs_search.py:107)                   |   274    |  0.000053100   | 0.000000194  |  0.000053100   | 0.000000194  |
|                               VCS (vcs.py:49)                               |    1     |  0.000050500   | 0.000050500  |  0.000305900   | 0.000305900  |
|                       __init__ (ice_pattern_set.py:17)                      |    2     |  0.000049200   | 0.000024600  |  0.016144700   | 0.008072350  |
|             find_s_reversible (ice_engine_pattern_finders.py:14)            |    5     |  0.000048700   | 0.000009740  |  0.008575800   | 0.001715160  |
|                             clear (graph.py:207)                            |    15    |  0.000048600   | 0.000003240  |  0.000111900   | 0.000007460  |
|                         get_mustplay (board.py:204)                         |    5     |  0.000047000   | 0.000009400  |  0.000105600   | 0.000021120  |
|                   remove_inferior (inferior_cells.py:311)                   |    36    |  0.000046200   | 0.000001283  |  0.001030100   | 0.000028614  |
|                            build (groups.py:195)                            |    16    |  0.000045000   | 0.000002813  |  0.006287800   | 0.000392988  |
|                       <module> (search_executor.py:1)                       |    1     |  0.000045000   | 0.000045000  |  1.152911400   | 1.152911400  |
|                             <module> (mcts.py:1)                            |    1     |  0.000043900   | 0.000043900  |  1.257898300   | 1.257898300  |
|                    is_group_on_edge (dead_region.py:383)                    |    66    |  0.000043900   | 0.000000665  |  0.000043900   | 0.000000665  |
|                     <listcomp> (last_move_tracker.py:22)                    |    6     |  0.000043300   | 0.000007217  |  0.000149300   | 0.000024883  |
|                       extract_board_array (mcts.py:32)                      |    4     |  0.000042800   | 0.000010700  |  0.000078300   | 0.000019575  |
|                    <module> (neighbor_offset_tables.py:1)                   |    1     |  0.000041700   | 0.000041700  |  0.000041700   | 0.000041700  |
|               compute_opponent_move (last_move_tracker.py:14)               |    7     |  0.000041600   | 0.000005943  |  0.000208100   | 0.000029729  |
|               _load_category_patterns (ice_pattern_set.py:50)               |    30    |  0.000041200   | 0.000001373  |  0.016044500   | 0.000534817  |
|                         <module> (vcs_queries.py:1)                         |    1     |  0.000040800   | 0.000040800  |  0.000075600   | 0.000075600  |
|                    InferiorCells (inferior_cells.py:100)                    |    1     |  0.000040800   | 0.000040800  |  0.000122400   | 0.000122400  |
|                         VcPattern (vc_pattern.py:22)                        |    1     |  0.000040700   | 0.000040700  |  0.000199400   | 0.000199400  |
|                          <module> (vcs_build.py:1)                          |    1     |  0.000040200   | 0.000040200  |  0.027685600   | 0.027685600  |
|                            __init__ (graph.py:7)                            |    11    |  0.000039600   | 0.000003600  |  0.000079100   | 0.000007191  |
|                            OrList (or_list.py:7)                            |    1     |  0.000037600   | 0.000037600  |  0.000136200   | 0.000136200  |
|                     _validate_board_state (board.py:55)                     |    1     |  0.000037300   | 0.000037300  |  0.000338500   | 0.000338500  |
|                        <module> (pattern_state.py:1)                        |    1     |  0.000037100   | 0.000037100  |  0.005136200   | 0.005136200  |
|                              Graph (graph.py:5)                             |    1     |  0.000035300   | 0.000035300  |  0.000066900   | 0.000066900  |
|                            set_table (vcs.py:122)                           |    20    |  0.000034800   | 0.000001740  |  0.000046400   | 0.000002320  |
|                          get_winner (groups.py:167)                         |    10    |  0.000034400   | 0.000003440  |  0.000255300   | 0.000025530  |
|                             <module> (vcs.py:1)                             |    1     |  0.000034000   | 0.000034000  |  0.006618300   | 0.006618300  |
|                  compute_edge_indices_for_color (vcs.py:34)                 |    2     |  0.000033000   | 0.000016500  |  0.000049900   | 0.000024950  |
|               <module> (field_propagation_pattern_store.py:1)               |    1     |  0.000032900   | 0.000032900  |  0.130507400   | 0.130507400  |
|                         <module> (board_utils.py:1)                         |    1     |  0.000032300   | 0.000032300  |  0.002127100   | 0.002127100  |
|                     _copy_graph (inferior_cells.py:170)                     |    5     |  0.000031400   | 0.000006280  |  0.000076800   | 0.000015360  |
|                advance_on_opponent_move (tree_manager.py:23)                |    3     |  0.000031300   | 0.000010433  |  0.000164500   | 0.000054833  |
|                        __init__ (pattern_state.py:48)                       |    6     |  0.000031200   | 0.000005200  |  0.000032500   | 0.000005417  |
|                  hashed_vulnerable (ice_pattern_set.py:139)                 |    26    |  0.000031000   | 0.000001192  |  0.000031000   | 0.000001192  |
|                          <module> (ice_engine.py:1)                         |    1     |  0.000030700   | 0.000030700  |  0.034613800   | 0.034613800  |
|                             __init__ (vcs.py:50)                            |    2     |  0.000030600   | 0.000015300  |  0.000082400   | 0.000041200  |
|                            __init__ (mcts.py:45)                            |    1     |  0.000030400   | 0.000030400  |  0.031050800   | 0.031050800  |
|              sync_with_opponent_move (game_state_manager.py:13)             |    4     |  0.000030100   | 0.000007525  |  0.000606800   | 0.000151700  |
|              find_inferior (ice_engine_pattern_finders.py:125)              |    5     |  0.000029500   | 0.000005900  |  0.008185800   | 0.001637160  |
|                      <listcomp> (playout_policy.py:16)                      |    1     |  0.000028100   | 0.000028100  |  0.000028100   | 0.000028100  |
|                          <module> (vc_pattern.py:1)                         |    1     |  0.000027300   | 0.000027300  |  0.027090900   | 0.027090900  |
|                  IceEngineHelpers (ice_engine_helpers.py:9)                 |    1     |  0.000027100   | 0.000027100  |  0.000039500   | 0.000039500  |
|                      __init__ (hashed_pattern_set.py:7)                     |    30    |  0.000027000   | 0.000000900  |  0.000051000   | 0.000001700  |
|             find_t_reversible (ice_engine_pattern_finders.py:68)            |    5     |  0.000025800   | 0.000005160  |  0.007942300   | 0.001588460  |
|                      clear_inferior_cells (board.py:89)                     |    5     |  0.000025200   | 0.000005040  |  0.000388800   | 0.000077760  |
|                        create_root (flat_tree.py:85)                        |    5     |  0.000024800   | 0.000004960  |  0.000193900   | 0.000038780  |
|                       full_exists (vcs_queries.py:138)                      |    5     |  0.000024600   | 0.000004920  |  0.000030700   | 0.000006140  |
|                        <module> (playout_policy.py:1)                       |    1     |  0.000024000   | 0.000024000  |  1.101230700   | 1.101230700  |
|                           AndList (and_list.py:7)                           |    1     |  0.000023900   | 0.000023900  |  0.000097200   | 0.000097200  |
|                         ICEngine (ice_engine.py:17)                         |    1     |  0.000023800   | 0.000023800  |  0.000091000   | 0.000091000  |
|                     _initialize_ice_engine (mcts.py:68)                     |    1     |  0.000023200   | 0.000023200  |  0.016379700   | 0.016379700  |
|                        <module> (playout_phase.py:1)                        |    1     |  0.000023100   | 0.000023100  |  1.103101400   | 1.103101400  |
|                   IterationLogger (iteration_logger.py:6)                   |    1     |  0.000022900   | 0.000022900  |  0.000022900   | 0.000022900  |
|                       __init__ (inferior_cells.py:101)                      |    1     |  0.000022600   | 0.000022600  |  0.000193900   | 0.000193900  |
|                         __init__ (vc_pattern.py:157)                        |    20    |  0.000022500   | 0.000001125  |  0.000022500   | 0.000001125  |
|                        __init__ (carrier_list.py:36)                        |    40    |  0.000022400   | 0.000000560  |  0.000022400   | 0.000000560  |
|                         remove_vertex (graph.py:27)                         |    26    |  0.000020900   | 0.000000804  |  0.000584300   | 0.000022473  |
|                    clear_inferior (inferior_cells.py:281)                   |    15    |  0.000020300   | 0.000001353  |  0.000132200   | 0.000008813  |
|                       <module> (ice_pattern_set.py:1)                       |    1     |  0.000019300   | 0.000019300  |  0.022408200   | 0.022408200  |
|                             Board (board.py:19)                             |    1     |  0.000019100   | 0.000019100  |  0.000133000   | 0.000133000  |
|                         <module> (dead_region.py:1)                         |    1     |  0.000018900   | 0.000018900  |  0.000719600   | 0.000719600  |
|                      get_m_fulls_and_queue (vcs.py:110)                     |    51    |  0.000018800   | 0.000000369  |  0.000018800   | 0.000000369  |
|                        <module> (inferior_cells.py:1)                       |    1     |  0.000018700   | 0.000018700  |  0.000692900   | 0.000692900  |
|                         is_game_over (groups.py:164)                        |    10    |  0.000018500   | 0.000001850  |  0.000273800   | 0.000027380  |
|                          __init__ (flat_tree.py:7)                          |    1     |  0.000018500   | 0.000018500  |  0.000841400   | 0.000841400  |
|                reset (field_propagation_pattern_store.py:93)                |    4     |  0.000018400   | 0.000004600  |  0.000040200   | 0.000010050  |
|                       <listcomp> (dead_region.py:170)                       |    10    |  0.000018100   | 0.000001810  |  0.000018100   | 0.000001810  |
|                        __init__ (playout_phase.py:16)                       |    1     |  0.000017900   | 0.000017900  |  0.013738200   | 0.013738200  |
|          IceEnginePatternFinders (ice_engine_pattern_finders.py:12)         |    1     |  0.000017800   | 0.000017800  |  0.000030100   | 0.000030100  |
|                   clear_godel_values (pattern_state.py:82)                  |    9     |  0.000017600   | 0.000001956  |  0.000056500   | 0.000006278  |
|               __init__ (field_propagation_pattern_store.py:26)              |    1     |  0.000017000   | 0.000017000  |  0.000149400   | 0.000149400  |
|                   advance_on_our_move (tree_manager.py:35)                  |    3     |  0.000016800   | 0.000005600  |  0.000060300   | 0.000020100  |
|                          VCOrCombiner (vc_or.py:6)                          |    1     |  0.000016500   | 0.000016500  |  0.000150800   | 0.000150800  |
|                        __init__ (tree_manager.py:10)                        |    1     |  0.000016300   | 0.000016300  |  0.000862900   | 0.000862900  |
|                 hashed_s_reversible (ice_pattern_set.py:119)                |    33    |  0.000016100   | 0.000000488  |  0.000016100   | 0.000000488  |
|                            get_color (vcs.py:89)                            |    30    |  0.000016000   | 0.000000533  |  0.000016000   | 0.000000533  |
|                            <module> (vc_or.py:1)                            |    1     |  0.000016000   | 0.000016000  |  0.000210600   | 0.000210600  |
|                            <module> (board.py:1)                            |    1     |  0.000015800   | 0.000015800  |  0.008559700   | 0.008559700  |
|                           transpose (graph.py:150)                          |    5     |  0.000015100   | 0.000003020  |  0.000055900   | 0.000011180  |
|                xor_player (inc_zobrist_hasher_tracker.py:51)                |    4     |  0.000015100   | 0.000003775  |  0.000015100   | 0.000003775  |
|            is_monocolor_using_capture (ice_engine_helpers.py:21)            |    5     |  0.000014700   | 0.000002940  |  0.000014700   | 0.000002940  |
|                      <module> (game_state_manager.py:1)                     |    1     |  0.000014700   | 0.000014700  |  0.001434700   | 0.001434700  |
|                      <module> (zobrist_constants.py:1)                      |    1     |  0.000014600   | 0.000014600  |  0.000041100   | 0.000041100  |
|                        DeadRegion (dead_region.py:30)                       |    1     |  0.000014200   | 0.000014200  |  0.000015600   | 0.000015600  |
|                    <module> (ice_engine_reversible.py:1)                    |    1     |  0.000014100   | 0.000014100  |  0.000025100   | 0.000025100  |
|                  _reset_trackers (game_state_manager.py:28)                 |    1     |  0.000013800   | 0.000013800  |  0.000407600   | 0.000407600  |
|                  <module> (ice_engine_dead_vulnerable.py:1)                 |    1     |  0.000013000   | 0.000013000  |  0.001257100   | 0.001257100  |
|                     <listcomp> (last_move_tracker.py:27)                    |    6     |  0.000013000   | 0.000002167  |  0.000015600   | 0.000002600  |
|                       get_m_captured_set (vcs.py:104)                       |    51    |  0.000012800   | 0.000000251  |  0.000012800   | 0.000000251  |
|               _apply_opponent_move (game_state_manager.py:32)               |    3     |  0.000012700   | 0.000004233  |  0.000062600   | 0.000020867  |
|                       <module> (neighbors_lookup.py:1)                      |    1     |  0.000012600   | 0.000012600  |  0.000062600   | 0.000062600  |
|             compute_edge_indices_for_player (dead_region.py:327)            |    1     |  0.000012300   | 0.000012300  |  0.000018900   | 0.000018900  |
|                     PlayoutPolicy (playout_policy.py:10)                    |    1     |  0.000012100   | 0.000012100  |  0.000014800   | 0.000014800  |
|                       <listcomp> (dead_region.py:234)                       |    10    |  0.000011900   | 0.000001190  |  0.000011900   | 0.000001190  |
|                    IcePatternSet (ice_pattern_set.py:15)                    |    1     |  0.000011800   | 0.000011800  |  0.000011800   | 0.000011800  |
|                          get_m_groups (vcs.py:101)                          |    41    |  0.000011200   | 0.000000273  |  0.000011200   | 0.000000273  |
|                            <module> (config.py:1)                           |    1     |  0.000011200   | 0.000011200  |  0.001825200   | 0.001825200  |
|                         <module> (tree_manager.py:1)                        |    1     |  0.000011000   | 0.000011000  |  0.000027500   | 0.000027500  |
|                  <module> (inc_zobrist_hasher_tracker.py:1)                 |    1     |  0.000010900   | 0.000010900  |  0.000503500   | 0.000503500  |
