Profile Analysis
Project Root: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith
Profile File: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith\pipeline\out\profile_stats
Total Functions Found: 380

+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Top 500 Project Functions by 'total_time'                                                        |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
|                                   Function                                  |  Calls   | Total Time (s) | Per Call (s) | Cumulative (s) | Cum/Call (s) |
|                         <module> (carrier_list.py:1)                        |    1     |  0.000007800   | 0.000007800  |  0.000775800   | 0.000775800  |
|                      __init__ (game_state_manager.py:9)                     |    1     |  0.000007800   | 0.000007800  |  0.000035400   | 0.000035400  |
|                          <module> (ring_godel.py:1)                         |    1     |  0.000007700   | 0.000007700  |  0.003969300   | 0.003969300  |
|                             size (groups.py:37)                             |    19    |  0.000007500   | 0.000000395  |  0.000007500   | 0.000000395  |
|                      PatternState (pattern_state.py:62)                     |    1     |  0.000007300   | 0.000007300  |  0.000093400   | 0.000093400  |
|                     VcPatternManager (vc_pattern.py:156)                    |    1     |  0.000007200   | 0.000007200  |  0.000036300   | 0.000036300  |
|                       <module> (iteration_logger.py:1)                      |    1     |  0.000007200   | 0.000007200  |  0.000041100   | 0.000041100  |
|                    PlayerIdentity (player_identity.py:4)                    |    1     |  0.000007000   | 0.000007000  |  0.000008400   | 0.000008400  |
|                         <module> (gamma_prior.py:1)                         |    1     |  0.000007000   | 0.000007000  |  0.000022600   | 0.000022600  |
|                          MCTSConfig (config.py:25)                          |    1     |  0.000006900   | 0.000006900  |  0.000006900   | 0.000006900  |
|                       <module> (vc_builder_param.py:1)                      |    1     |  0.000006800   | 0.000006800  |  0.000630500   | 0.000630500  |
|                      PlayoutPhase (playout_phase.py:15)                     |    1     |  0.000006600   | 0.000006600  |  0.000156900   | 0.000156900  |
|                   <module> (inc_empty_cells_tracker.py:1)                   |    1     |  0.000006200   | 0.000006200  |  0.000110100   | 0.000110100  |
|                        <module> (ice_constants.py:1)                        |    1     |  0.000006100   | 0.000006100  |  0.000012100   | 0.000012100  |
|                             Group (groups.py:19)                            |    1     |  0.000006000   | 0.000006000  |  0.000041200   | 0.000041200  |
|                          set_m_groups (vcs.py:128)                          |    10    |  0.000005900   | 0.000000590  |  0.000005900   | 0.000000590  |
|                          Full (value_objects.py:12)                         |    1     |  0.000005800   | 0.000005800  |  0.000010600   | 0.000010600  |
|                      <module> (last_move_tracker.py:1)                      |    1     |  0.000005800   | 0.000005800  |  0.000138700   | 0.000138700  |
|                    semi_intersection (vcs_queries.py:192)                   |    1     |  0.000005500   | 0.000005500  |  0.000016700   | 0.000016700  |
|                   LastMoveTracker (last_move_tracker.py:6)                  |    1     |  0.000005500   | 0.000005500  |  0.000121200   | 0.000121200  |
|                          <module> (flat_tree.py:1)                          |    1     |  0.000005500   | 0.000005500  |  0.000021700   | 0.000021700  |
|                      get_m_semis_or_queue (vcs.py:113)                      |    10    |  0.000005200   | 0.000000520  |  0.000005200   | 0.000000520  |
|                 __init__ (inc_zobrist_hasher_tracker.py:12)                 |    1     |  0.000005200   | 0.000005200  |  0.000005200   | 0.000005200  |
|                       <module> (selection_phase.py:1)                       |    1     |  0.000005200   | 0.000005200  |  0.000068800   | 0.000068800  |
|                  hashed_reversible (ice_pattern_set.py:144)                 |    4     |  0.000005200   | 0.000001300  |  0.000005200   | 0.000001300  |
|                            use_vcs (board.py:72)                            |    5     |  0.000005100   | 0.000001020  |  0.000005100   | 0.000001020  |
|                      vulnerable (inferior_cells.py:121)                     |    5     |  0.000005100   | 0.000001020  |  0.000010300   | 0.000002060  |
|                          <module> (constants.py:1)                          |    1     |  0.000005000   | 0.000005000  |  0.000005000   | 0.000005000  |
|                     initialize_root (tree_manager.py:20)                    |    1     |  0.000005000   | 0.000005000  |  0.000034000   | 0.000034000  |
|                          Semi (value_objects.py:19)                         |    1     |  0.000004900   | 0.000004900  |  0.000008900   | 0.000008900  |
|                           <module> (clusters.py:1)                          |    1     |  0.000004900   | 0.000004900  |  0.000025600   | 0.000025600  |
|                           set_m_param (vcs.py:125)                          |    10    |  0.000004800   | 0.000000480  |  0.000004800   | 0.000000480  |
|                     <module> (cell_to_index_lookup.py:1)                    |    1     |  0.000004800   | 0.000004800  |  0.000030100   | 0.000030100  |
|                         <module> (ice_pattern.py:1)                         |    1     |  0.000004700   | 0.000004700  |  0.000406800   | 0.000406800  |
|              <dictcomp> (field_propagation_pattern_store.py:42)             |    1     |  0.000004500   | 0.000004500  |  0.000004500   | 0.000004500  |
|                        _validate_color (board.py:169)                       |    5     |  0.000004300   | 0.000000860  |  0.000004300   | 0.000000860  |
|                       <module> (ice_fillin_modes.py:1)                      |    1     |  0.000004300   | 0.000004300  |  0.000219700   | 0.000219700  |
|                        get_root (tree_manager.py:46)                        |    8     |  0.000004200   | 0.000000525  |  0.000004200   | 0.000000525  |
|                   set_our_board (last_move_tracker.py:11)                   |    4     |  0.000004200   | 0.000001050  |  0.000004200   | 0.000001050  |
|                      _validate_last_move (board.py:173)                     |    5     |  0.000004200   | 0.000000840  |  0.000004200   | 0.000000840  |
|                       TreeManager (tree_manager.py:9)                       |    1     |  0.000004000   | 0.000004000  |  0.000005000   | 0.000005000  |
|                   hashed_inferior (ice_pattern_set.py:129)                  |    5     |  0.000004000   | 0.000000800  |  0.000004000   | 0.000000800  |
|                          num_vertices (graph.py:68)                         |    5     |  0.000004000   | 0.000000800  |  0.000004000   | 0.000000800  |
|                            Groups (groups.py:64)                            |    1     |  0.000003900   | 0.000003900  |  0.000003900   | 0.000003900  |
|                       __init__ (player_identity.py:5)                       |    1     |  0.000003800   | 0.000003800  |  0.000003800   | 0.000003800  |
|                          FlatTree (flat_tree.py:6)                          |    1     |  0.000003800   | 0.000003800  |  0.000004400   | 0.000004400  |
|                 hashed_t_reversible (ice_pattern_set.py:124)                |    5     |  0.000003800   | 0.000000760  |  0.000003800   | 0.000000760  |
|                    SelectionPhase (selection_phase.py:6)                    |    1     |  0.000003700   | 0.000003700  |  0.000053100   | 0.000053100  |
|                     s_reversible (inferior_cells.py:124)                    |    5     |  0.000003700   | 0.000000740  |  0.000007300   | 0.000001460  |
|                       <module> (player_identity.py:1)                       |    1     |  0.000003600   | 0.000003600  |  0.000022500   | 0.000022500  |
|       IncrementalZobristHashTracker (inc_zobrist_hasher_tracker.py:72)      |    1     |  0.000003600   | 0.000003600  |  0.000005800   | 0.000005800  |
|                  HashedPatternSet (hashed_pattern_set.py:5)                 |    1     |  0.000003600   | 0.000003600  |  0.000003600   | 0.000003600  |
|                         GroupBuilder (groups.py:194)                        |    1     |  0.000003500   | 0.000003500  |  0.000003500   | 0.000003500  |
|                          <module> (xor_masks.py:1)                          |    1     |  0.000003400   | 0.000003400  |  0.000015000   | 0.000015000  |
|                  GameStateManager (game_state_manager.py:8)                 |    1     |  0.000003200   | 0.000003200  |  0.000008400   | 0.000008400  |
|                         __init__ (gamma_prior.py:10)                        |    1     |  0.000003100   | 0.000003100  |  0.000003100   | 0.000003100  |
|                           Clusters (clusters.py:4)                          |    1     |  0.000003100   | 0.000003100  |  0.000003100   | 0.000003100  |
|                 get_our_piece_letter (player_identity.py:40)                |    8     |  0.000003000   | 0.000000375  |  0.000003000   | 0.000000375  |
|                              MCTS (mcts.py:44)                              |    1     |  0.000002700   | 0.000002700  |  0.000002900   | 0.000002900  |
|                   GammaPriorCalculator (gamma_prior.py:9)                   |    1     |  0.000002700   | 0.000002700  |  0.000003400   | 0.000003400  |
|                       get_inferior_cells (board.py:86)                      |    5     |  0.000002600   | 0.000000520  |  0.000002600   | 0.000000520  |
|                       __init__ (search_executor.py:25)                      |    1     |  0.000002600   | 0.000002600  |  0.000002600   | 0.000002600  |
|                          id_to_action (mcts.py:40)                          |    3     |  0.000002500   | 0.000000833  |  0.000002500   | 0.000000833  |
|                         RingGodel (ring_godel.py:4)                         |    1     |  0.000002500   | 0.000002500  |  0.000002500   | 0.000002500  |
|              IceEngineReversible (ice_engine_reversible.py:11)              |    1     |  0.000002400   | 0.000002400  |  0.000002400   | 0.000002400  |
|                            <module> (graph.py:1)                            |    1     |  0.000002400   | 0.000002400  |  0.000084000   | 0.000084000  |
|                           get_m_fulls (vcs.py:116)                          |    5     |  0.000002200   | 0.000000440  |  0.000002200   | 0.000000440  |
|                      FillinMode (ice_fillin_modes.py:4)                     |    1     |  0.000002200   | 0.000002200  |  0.000034400   | 0.000034400  |
|                        set_store (gamma_prior.py:15)                        |    3     |  0.000002100   | 0.000000700  |  0.000002100   | 0.000000700  |
|                       PatternHit (pattern_state.py:25)                      |    1     |  0.000002100   | 0.000002100  |  0.000002100   | 0.000002100  |
|                  get_our_piece_type (player_identity.py:22)                 |    4     |  0.000002000   | 0.000000500  |  0.000002000   | 0.000000500  |
|                    VCBuilderParam (vc_builder_param.py:4)                   |    1     |  0.000001800   | 0.000001800  |  0.000001800   | 0.000001800  |
|                      _sanitize_reverser (board.py:178)                      |    5     |  0.000001700   | 0.000000340  |  0.000001700   | 0.000000340  |
|                         IceUtil (ice_engine.py:342)                         |    1     |  0.000001700   | 0.000001700  |  0.000001700   | 0.000001700  |
|                       __init__ (selection_phase.py:7)                       |    1     |  0.000001600   | 0.000001600  |  0.000001600   | 0.000001600  |
|                   PatternMatcherData (pattern_state.py:41)                  |    1     |  0.000001600   | 0.000001600  |  0.000001600   | 0.000001600  |
|                        Iterator (carrier_list.py:13)                        |    1     |  0.000001300   | 0.000001300  |  0.000001300   | 0.000001300  |
|                      __init__ (last_move_tracker.py:7)                      |    1     |  0.000001300   | 0.000001300  |  0.000001300   | 0.000001300  |
|                      get_flat_tree (tree_manager.py:49)                     |    4     |  0.000001100   | 0.000000275  |  0.000001100   | 0.000000275  |
|                       <listcomp> (ice_constants.py:36)                      |    1     |  0.000001100   | 0.000001100  |  0.000001100   | 0.000001100  |
|                      _advance_root (tree_manager.py:55)                     |    2     |  0.000001000   | 0.000000500  |  0.000001000   | 0.000000500  |
|                          Ends (value_objects.py:6)                          |    1     |  0.000000800   | 0.000000800  |  0.000000800   | 0.000000800  |
|                           Elem (carrier_list.py:6)                          |    1     |  0.000000800   | 0.000000800  |  0.000000800   | 0.000000800  |
|                      RotatedPattern (ice_pattern.py:27)                     |    1     |  0.000000700   | 0.000000700  |  0.000000700   | 0.000000700  |
|                is_captain_in_upper_half (dead_region.py:378)                |    1     |  0.000000700   | 0.000000700  |  0.000000700   | 0.000000700  |
|                        IcePattern (ice_pattern.py:4)                        |    1     |  0.000000600   | 0.000000600  |  0.000000600   | 0.000000600  |
|               set_find_presimplicial_pairs (ice_engine.py:37)               |    1     |  0.000000400   | 0.000000400  |  0.000000400   | 0.000000400  |
|               set_find_all_pattern_killers (ice_engine.py:43)               |    1     |  0.000000400   | 0.000000400  |  0.000000400   | 0.000000400  |
|              set_find_all_pattern_superiors (ice_engine.py:49)              |    1     |  0.000000400   | 0.000000400  |  0.000000400   | 0.000000400  |
|                           get_m_semis (vcs.py:119)                          |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|                   and_full_stone_full (vcs_search.py:129)                   |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|             set_find_three_sided_dead_regions (ice_engine.py:55)            |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|                set_iterative_dead_regions (ice_engine.py:61)                |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|                      set_use_capture (ice_engine.py:67)                     |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|                    set_find_reversible (ice_engine.py:73)                   |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|            set_use_s_reversible_as_reversible (ice_engine.py:79)            |    1     |  0.000000300   | 0.000000300  |  0.000000300   | 0.000000300  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000200   | 0.000000200  |  0.000000200   | 0.000000200  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000200   | 0.000000200  |  0.000000200   | 0.000000200  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000200   | 0.000000200  |  0.000000200   | 0.000000200  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000200   | 0.000000200  |  0.000000200   | 0.000000200  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
|                           <module> (__init__.py:1)                          |    1     |  0.000000100   | 0.000000100  |  0.000000100   | 0.000000100  |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
